Entid,T4_Payroll,PD7_AvgEmp_12,PD7_AvgEmp_NonZero,total_assets,total_liabilities,total_shareholder_equity,total_current_assets,total_tangible_assets,tot_acum_amort_tangible_assets,total_intangible_assets,tot_acum_amort_intang_assets,total_current_liabilities,land,buildings,machinery_and_equipment,total_revenue,total_expenses,farm_total_revenue,farm_total_expenses,farm_net_income,total_cost_of_sales,gross_profits,net_income_befor_taxextraitems,sales_goods_and_services,net_income_after_taxextraitems,opening_inventory,closing_inventory,total_operating_expenses,amortization_tangible_assets,amortization_intangible_assets,SRED_Expenditures,SRED_ITC_Earned,SRED_ITC_Current_at_35Percent,SRED_ITC_Capital_at_35Percent,SRED_ITC_Current_at_20Percent,SRED_ITC_Capital_at_20Percent,SRED_Deducted_PartI,SRED_from_partnership,SRED_refunded,SRED_carried_back_1year,SRED_carried_back_2years,SRED_carried_back_3years,OPAddressProvince,LegalTypeCode,NonProfitCode,NAICS,EntMultiEstablishmentFlag,EntMultiLocationFlag,EntMultiProvinceFlag,EntMultiActivityFlag,FiscalStartDate,FiscalEndDate,BirthDate,BusinessStatusCode,IncorporationDate,Purchases_cost_of_materials,capital_cost_allowance,NbBN_filedT4,NbBN_filedPD7,NbBN_filedT2,CCPC
65,1285366,940,3,4999955,463213,3951376,647559,3837176,377114,277241,238234,2369661,330695,173985,198331,8564852,4961087,70269,100266,82216,35880,221706,236937,4314,272890,255023,479204,208678,194371,118960,201696,136606,5118,409694,308196,379744,420487,45058,361381,389798,432623,321393,NS,3,0,35,-1,0,-1,-1,2064-12-31,2065-12-31,2044-12-31,1,2044-12-31,26927,262001,2,9,4,0
66,4935158,915,242,9835262,2131626,1240401,4175226,4982283,378377,431576,259581,4870992,429271,442745,118552,9361724,1643384,83105,200224,27747,117621,162344,204868,270654,138938,240648,143885,351936,227870,278367,171058,474288,460566,278703,303627,94075,224362,178479,68687,264154,489630,201371,PE,4,1,90,0,-1,-1,-1,2065-12-31,2066-12-31,2045-12-31,6,2045-12-31,168528,242961,1,1,9,1
67,397776,10,22,203866,93163,3760490,2092299,1112029,454523,30943,108643,2284775,461144,433124,90257,6646772,3036876,67924,493176,40475,358103,250929,305441,448511,186649,286156,365877,478398,137953,217612,418684,51868,5422,425401,439628,96564,307049,265753,145994,356414,85026,158943,SK,5,1,64,0,-1,-1,0,2066-12-31,2067-12-31,2046-12-31,1,2046-12-31,207949,44865,1,5,7,0
68,300118,482,263,5156013,1349628,4080621,3797059,1648131,208863,155414,243938,1408313,26155,345466,188278,6985966,173056,108642,302554,117111,294514,488275,222798,173939,182852,388781,440142,126170,82873,144516,105495,96956,273339,61804,216722,386884,354795,303923,360704,379196,479816,164226,NS,3,2,35,0,-1,0,0,2067-12-31,2068-12-31,2047-12-31,4,2047-12-31,186703,31223,2,2,1,0
69,402519,962,85,8835573,3227088,3444997,267592,4698007,240228,115280,71180,2875954,102051,209185,289467,6380609,372503,193601,236758,410549,136996,214289,36242,110846,17048,160457,176772,226971,174105,318945,238330,338536,171347,411448,406630,58717,179394,182185,304207,147579,272842,497206,NT,5,2,68,0,-1,-1,0,2068-12-31,2069-12-31,2048-12-31,1,2048-12-31,156196,248080,8,6,1,0
70,2618576,628,984,2913486,4227393,3992729,4547298,1939988,211380,198045,28694,4521592,234545,270145,171465,6289412,123196,302750,123323,136950,293347,229950,416766,188793,218187,136045,250755,462850,268557,358592,135648,248221,385300,285240,90981,480580,173754,123044,106228,325440,210806,103617,MB,3,0,67,-1,0,0,-1,2069-12-31,2070-12-31,2049-12-31,4,2049-12-31,287074,318966,5,2,2,1
71,3301874,22,178,5292602,58406,2189335,4613027,409551,51340,29951,271782,735253,12974,344800,249797,9616529,3068554,370393,324314,391378,269775,178135,267797,259223,83805,66824,58686,433050,210862,228346,272771,57270,221419,444440,264871,148114,397639,87799,69195,124245,156934,383584,ON,4,1,62,-1,0,0,0,2070-12-31,2071-12-31,2050-12-31,5,2050-12-31,225567,240987,3,1,2,1
72,3127941,428,845,8828747,4521680,4274211,98133,4051788,181028,310327,45125,1098421,280067,305933,74594,953788,1758295,32185,461394,124655,432691,399172,18985,41675,493405,173751,179649,314123,431975,264739,305394,139364,83447,28674,268993,95560,57322,316754,225280,36073,140251,270460,NT,4,1,35,0,0,-1,-1,2071-12-31,2072-12-31,2051-12-31,6,2051-12-31,477952,446972,8,3,8,0
73,4187598,994,957,2383131,2350262,2285914,4340942,4373814,161755,378556,165913,1211328,251869,21006,419550,8054834,817128,320508,248065,72622,175590,351789,457953,493164,364265,231237,306582,368780,275317,260012,185463,369615,114079,357145,138565,155784,64746,200076,54803,28859,239242,265805,BC,4,2,70,-1,0,-1,-1,2072-12-31,2073-12-31,2052-12-31,7,2052-12-31,465903,51009,8,1,4,0
74,1525123,966,223,6935350,3320850,303683,2581422,1575708,446802,277495,463849,4471701,175354,232654,36521,593894,2721591,221676,205861,451874,184566,197556,221797,264025,362180,127370,221046,195303,273484,146290,411571,250739,266804,193883,327016,373722,379786,358102,378650,142632,499146,261008,NL,5,2,24,-1,-1,-1,-1,2073-12-31,2074-12-31,2053-12-31,6,2053-12-31,115084,79934,9,6,2,1
75,2394155,160,321,7007186,4988071,1249683,3573529,4992420,298460,392364,155256,1453483,335221,382351,131291,8911038,2625814,491490,498328,428317,363028,86115,299074,441757,442970,303536,149408,12310,105463,170019,7252,470447,161035,333614,215880,125303,265234,151452,151662,339637,241194,27568,BC,3,1,61,-1,-1,0,-1,2074-12-31,2075-12-31,2054-12-31,3,2054-12-31,167137,262099,1,2,1,1
76,4404539,272,198,4049023,678998,2269483,2075927,2328578,158355,402747,129223,2369181,147997,461120,183035,1834524,2942601,435075,348444,1753,249474,113124,349413,138716,344071,36892,73217,444978,462311,30601,136979,438071,394700,192428,133701,310341,250376,367870,141455,303046,296366,345314,NU,9,0,43,-1,0,0,0,2075-12-31,2076-12-31,2055-12-31,3,2055-12-31,360359,467374,7,6,6,0
77,2380280,502,651,3950505,1001090,2497203,955762,900086,403986,360185,23785,1960740,423930,429648,271603,8412718,4776984,396144,335902,154551,428742,269887,20280,124881,335750,162199,260695,245673,95509,427007,380677,208792,85307,298195,237359,419858,107215,34158,90011,152194,275987,208151,SK,9,0,68,0,-1,0,-1,2076-12-31,2077-12-31,2056-12-31,1,2056-12-31,476104,61260,5,5,7,1
78,4040203,201,324,395937,1046028,1162135,4222915,3484069,45996,345239,76598,4542574,494931,423271,158112,866858,2372678,111821,298724,219091,333428,470567,421118,356687,300593,244900,57050,63158,195334,329415,494867,36684,478339,367780,135926,6430,43680,157949,252631,217528,448611,53084,PE,9,0,35,0,-1,0,-1,2077-12-31,2078-12-31,2057-12-31,5,2057-12-31,131053,478070,7,2,8,1
79,3079250,642,950,1935906,4658662,705653,2926669,3713464,468213,399155,291179,3721631,217439,157361,202576,3453938,3872530,33712,116046,193573,302035,494608,149596,70776,463916,331750,331089,228305,163800,341903,391832,243182,275274,284244,247206,352010,444531,350274,414977,263547,46146,458900,NS,6,2,47,0,0,0,-1,2078-12-31,2079-12-31,2058-12-31,2,2058-12-31,67692,186091,9,7,8,0
80,3625028,973,958,6395014,4210939,415794,2025059,3524178,198396,327040,99469,2761104,14841,494052,361556,1763112,1009352,435772,104252,21761,202915,74423,188744,447454,297747,16557,176489,231072,276912,85822,217855,399396,142992,165423,329520,320482,443139,275073,123362,58424,239764,184239,SK,3,2,69,-1,0,0,-1,2079-12-31,2080-12-31,2059-12-31,3,2059-12-31,404128,291950,2,2,6,0
81,1331845,877,366,1560551,170890,1957118,3957175,1208731,112452,27170,146079,2094788,54043,493226,184283,7391018,2207285,175758,392566,349862,335887,328358,112600,414244,207662,430908,406979,134288,172496,393058,35127,304033,206742,285731,367947,310287,463179,42985,152143,163323,172343,232807,NT,4,0,83,-1,0,-1,0,2080-12-31,2081-12-31,2060-12-31,6,2060-12-31,453443,445558,2,7,9,1
82,2470477,627,770,5904299,1874686,2675035,1215720,1513284,310965,487723,341794,234093,489837,423641,142113,1669170,1449203,47096,112386,399453,27736,297613,85916,61942,421878,137291,156296,317414,58170,382951,264763,77882,245729,12643,175686,39643,135795,306425,19030,104370,38865,312583,ON,6,0,82,0,-1,0,0,2081-12-31,2082-12-31,2061-12-31,3,2061-12-31,379313,69558,1,5,5,1
83,4797355,176,728,9873947,2734926,680462,1300201,3266031,123915,147276,369176,2337423,468856,114570,337181,9635861,4429094,138832,157212,163609,194406,137696,115744,20830,254444,46834,385401,382380,479236,45961,433902,359105,171965,430341,102350,76468,27132,201613,328120,346454,188898,142103,MB,9,2,51,0,0,0,-1,2082-12-31,2083-12-31,2062-12-31,2,2062-12-31,462620,197935,8,9,7,1
84,461574,933,318,4842105,4304827,3336592,3133142,1449127,221168,209169,438533,3505184,245592,382422,448456,2264174,1969988,203297,79674,331258,145439,39364,87234,360166,153074,497218,98517,267465,325840,240512,343412,158878,129959,98437,134895,456101,198906,130313,276467,319626,336620,326474,QC,4,0,43,0,-1,0,0,2083-12-31,2084-12-31,2063-12-31,3,2063-12-31,491429,196214,2,2,9,1
85,1793551,380,26,2939105,703276,2007782,2181324,2458303,426060,331220,296669,2685310,94113,158286,160782,8006220,3793274,233242,276081,379395,273555,76199,168431,217594,61704,455435,300286,174930,283162,388675,80146,150984,384369,294792,398528,377044,191322,2252,425056,352170,490337,373911,NS,9,2,81,0,0,0,0,2084-12-31,2085-12-31,2064-12-31,5,2064-12-31,129386,239857,5,1,6,1
86,4034074,565,865,8864054,3688594,2278917,1170617,3662201,115101,290735,238417,2591799,25424,242794,474160,1641118,1648542,245205,131140,253794,79745,296872,308651,115171,342241,328631,347699,159875,476508,340464,333273,201065,468514,352946,207454,352177,263730,19041,330660,261446,28790,389554,SK,6,1,93,-1,-1,0,0,2085-12-31,2086-12-31,2065-12-31,7,2065-12-31,474497,209811,6,6,1,0
87,826628,432,988,1246615,1810908,3529222,2619267,2244149,114252,128376,490833,1026185,459718,30978,322293,4192484,3415916,101242,419697,203222,450819,448854,5762,446583,481370,436372,325687,306611,401892,372196,449321,330642,498706,367451,127090,115389,67967,122346,418661,406208,67420,391804,NS,6,2,71,-1,0,-1,0,2086-12-31,2087-12-31,2066-12-31,1,2066-12-31,21331,33037,1,9,4,0
88,4135815,161,251,8802022,1824278,970822,3966087,635345,340300,386402,244414,1251683,341537,243182,149261,6823373,4112581,109757,59113,158589,180042,378745,324687,63706,474141,390427,159445,226730,94081,266756,462599,374824,20475,468256,437466,123760,36013,192914,262701,89695,98454,265226,PE,2,2,47,0,0,0,0,2087-12-31,2088-12-31,2067-12-31,6,2067-12-31,32689,299359,3,3,5,0
89,503351,122,56,1756456,1266237,3387992,4415974,3341631,419129,135598,393284,4369202,278951,339729,136617,8024609,1251527,151161,370124,499292,360727,138860,428993,369310,374901,299070,499582,292883,110014,332350,158015,132139,129956,236664,274344,353828,131185,414322,159044,138067,485805,155746,PE,5,2,12,0,-1,0,-1,2088-12-31,2089-12-31,2068-12-31,4,2068-12-31,492987,406726,7,3,4,0
90,4589050,361,747,6771178,1590047,2614738,2135085,648000,128712,254528,83587,678850,216417,37983,440672,261551,861981,207789,110578,231828,359554,387754,124137,197687,311981,331943,401913,493769,390848,125161,183818,44123,122159,31534,470036,267347,307663,380526,340464,374429,56689,53717,MB,6,2,46,0,0,-1,0,2089-12-31,2090-12-31,2069-12-31,1,2069-12-31,279856,46203,4,2,2,1
91,2768403,9,240,892403,2393386,285850,2864755,4130760,119119,191516,87984,1862626,328717,388073,334347,1173008,1019365,175092,431336,431121,316315,146682,263209,281074,450385,369591,393997,389653,253443,449964,168289,101274,53174,169302,385876,486445,441057,78620,228738,223287,317895,484670,NU,1,1,40,0,-1,-1,0,2090-12-31,2091-12-31,2070-12-31,6,2070-12-31,390888,142632,5,1,5,0
92,1054013,945,221,2502606,3874067,416135,2283124,4129253,235722,253471,127359,3151193,384444,345864,260463,3965848,2042552,193986,119265,388547,394875,290265,259498,183797,270556,61011,131795,257375,307248,86250,95292,437077,428299,103744,150878,499502,43518,6782,191033,388670,227695,29417,NL,2,2,59,0,0,-1,-1,2091-12-31,2092-12-31,2071-12-31,5,2071-12-31,129370,249341,9,9,7,1
93,4484850,148,306,9929941,4530956,1360648,2975524,1744235,257703,343430,86002,3304833,394348,415881,272665,4093500,4845445,441301,179988,112750,128878,122807,375421,304570,167364,149398,83720,469489,20412,373671,470243,163907,209013,122880,123920,497774,266311,114153,415197,5325,260509,473785,SK,5,0,93,-1,0,0,-1,2092-12-31,2093-12-31,2072-12-31,1,2072-12-31,424427,471958,4,4,4,0
94,2134167,151,96,8924381,3663716,325230,662231,3133557,201710,174271,447133,2549735,83575,14673,145482,9240720,2323244,302676,199944,101416,81690,330646,77666,332548,67030,325210,133063,225841,89552,205869,417080,472717,178497,52660,422332,85467,393341,17506,454551,147423,15320,52947,SK,1,1,92,0,0,-1,0,2093-12-31,2094-12-31,2073-12-31,2,2073-12-31,427185,392800,8,3,3,1
95,2466835,725,944,3140619,1701649,4520873,465251,3862175,192842,216184,47897,4716080,472090,274294,280309,6437136,2360535,332500,487983,412183,9695,250809,271721,262524,3663,350226,201567,481126,375191,291486,9054,127819,461909,57734,235270,59446,468375,26047,31728,28472,235494,164007,NS,5,2,76,-1,-1,0,-1,2094-12-31,2095-12-31,2074-12-31,6,2074-12-31,31360,6439,2,5,8,1
96,1867395,202,540,9391660,3667589,3456761,4877554,954581,63783,84312,481787,1255565,379840,229037,247608,5570710,847543,185972,28578,217374,11783,74067,203515,72767,295041,481568,443236,393514,116975,296728,165971,218113,383053,347986,158746,250576,219007,230201,31428,16595,203148,67753,NU,1,1,91,-1,-1,-1,-1,2095-12-31,2096-12-31,2075-12-31,2,2075-12-31,68357,230546,6,2,4,0
97,4279159,839,722,2003304,2883365,849338,3945888,2786746,76574,288101,292081,4161636,292285,438639,398715,8638045,3225607,169444,148087,13662,100195,292054,365274,152048,52347,210398,368945,295207,301771,401703,449089,26355,116132,182642,224830,370762,93599,296121,386352,376475,106857,381974,NB,6,2,53,0,0,0,0,2096-12-31,2097-12-31,2076-12-31,1,2076-12-31,83986,19708,2,3,1,0
98,3629778,782,267,7533297,1951972,4233192,3212659,4753565,406432,444168,258261,124787,424796,75902,223094,7628138,3241718,85077,267423,364852,274448,302691,482621,268387,238535,431887,208313,387509,287576,147168,277109,495026,117588,461903,14698,403237,390879,465818,496730,34504,220645,484726,NB,3,1,51,-1,-1,0,-1,2097-12-31,2098-12-31,2077-12-31,6,2077-12-31,211879,67939,8,6,8,0
99,4872003,529,805,9286566,3626663,1897767,224320,3995960,46396,91131,101378,4132272,367878,29705,189887,7306806,1657929,162156,316491,129224,113507,175210,115342,202188,90183,478704,220063,115873,291034,300282,318709,436397,466116,398812,278550,314918,199884,70235,332879,288594,350144,93575,SK,9,2,47,-1,-1,0,0,2098-12-31,2099-12-31,2078-12-31,7,2078-12-31,262063,46131,6,7,2,1
100,1192031,267,958,3337637,696113,4882872,3596906,2032396,265687,114846,253546,3768172,70453,281921,379731,3701521,487394,6322,255439,373092,225778,252634,387967,74041,493820,470434,43308,186465,50074,405638,22102,3332,304349,400675,89289,399043,336953,78312,460741,290301,120721,331326,SK,2,2,87,0,-1,-1,-1,2099-12-31,2100-12-31,2079-12-31,7,2079-12-31,461965,122095,2,9,4,0
